chromosome_id,HGPS_297_L1_ASO_1,HGPS_297_NT_1,HGPS_297_SCR_1,HGPS_478_L1_ASO_1,HGPS_478_NT_1,HGPS_478_SCR_1,HGPS_917_L1_ASO_1,HGPS_917_NT_1,HGPS_917_SCR_1,WRN_1_L1_ASO_1,WRN_1_NT_1,WRN_1_SCR_1,WRN_2_L1_ASO_1,WRN_2_NT_1,WRN_2_SCR_1,WRN_3_L1_ASO_1,WRN_3_NT_1,WRN_3_SCR_1,WT_1_1,WT_2_1,WT_3_1
0,0.0,0.1479059663850033,0.1438952981540593,0.09032111642270689,0.14239666270244347,0.14004388116245678,0.08012593411485107,0.14517625841591397,0.14276930504382218,0.10590508924599065,0.14225680423950707,0.14413989864585666,0.09700642181258622,0.1422412172195709,0.13954505397342926,0.09569458695502797,0.13777515843267524,0.16042227348286198,0.12081138214567448,0.11873948454129396,0.11842644640055659
1,0.1479059663850033,0.0,0.01987503570498004,0.14105650109763457,0.09893640786512888,0.10249454614445676,0.15739269381113513,0.0988725340055322,0.09962056444479195,0.14857912665121437,0.09348607692099707,0.10505011580074772,0.14675577060105807,0.10014613040294786,0.0997827443870868,0.13668562273514043,0.09936388777770347,0.1316799597652632,0.16190527928001974,0.16251534300288312,0.16034516121476822
2,0.1438952981540593,0.01987503570498004,0.0,0.1409718808603746,0.09776751735265023,0.09761235282961181,0.15346852120372298,0.09899231060137002,0.09643952857225659,0.14388138490376784,0.08987537133443041,0.09840253938180311,0.139498192937248,0.09281650069114751,0.09195435589688188,0.1322794429930756,0.09272502163577871,0.12499173943186301,0.15928102676576678,0.16144317255307586,0.15985859679673378
3,0.09032111642270689,0.14105650109763457,0.1409718808603746,0.0,0.12570289507912402,0.12623038167163286,0.08756523741572644,0.12618226438411126,0.1225718730331932,0.12099480096868945,0.1287086249356859,0.13717846279573664,0.11386689877568855,0.13481869134587496,0.1309922223264161,0.10822740221365908,0.13431156609637315,0.1562309423143721,0.10306407479871105,0.0992956978467504,0.09844738079586587
4,0.14239666270244347,0.09893640786512888,0.09776751735265023,0.12570289507912402,0.0,0.023835905855712013,0.14982095563919792,0.0962829888314557,0.09722846542281706,0.15419629287048253,0.11824196153773447,0.1347232114821068,0.1408260427169613,0.12008299158419185,0.12425039848599555,0.13450149450375992,0.12643660527360687,0.16012567249422296,0.1601215386385865,0.16381724392675834,0.16100560517347767
5,0.14004388116245678,0.10249454614445676,0.09761235282961181,0.12623038167163286,0.023835905855712013,0.0,0.14978815418976724,0.09971355705285594,0.09515934836828785,0.1481596822716835,0.11773813705147072,0.12934095915121438,0.13701069697299578,0.11543290054834712,0.11904256765381616,0.1332456868879435,0.11954581162381607,0.14796805572154142,0.16076738158057866,0.15926731317551143,0.15954576262771367
6,0.08012593411485107,0.15739269381113513,0.15346852120372298,0.08756523741572644,0.14982095563919792,0.14978815418976724,0.0,0.12612201207272983,0.12259868180616565,0.1161192160498595,0.14472352224376686,0.1474772082144972,0.1032213975840768,0.14426218120389242,0.14265013152428496,0.10048656576708684,0.14631798919224834,0.1726095872419544,0.10754954808817867,0.1101189628716651,0.10929623178058909
7,0.14517625841591397,0.0988725340055322,0.09899231060137002,0.12618226438411126,0.0962829888314557,0.09971355705285594,0.12612201207272983,0.0,0.024501919498474724,0.13506240097055083,0.10388501657676298,0.11701781233191244,0.1305911170464984,0.10767711481365118,0.10996113293944247,0.12225057341953408,0.1162466801578416,0.15071110520733844,0.14991553425397483,0.15493025050545417,0.14998899554125925
8,0.14276930504382218,0.09962056444479195,0.09643952857225659,0.1225718730331932,0.09722846542281706,0.09515934836828785,0.12259868180616565,0.024501919498474724,0.0,0.13178391969748474,0.10367518128068158,0.1096088788473457,0.12863845334848212,0.1028534628805,0.10381538080896639,0.12255535168896022,0.10712558884276449,0.13772402814622142,0.1499995032617243,0.1508032260386737,0.1490125806130728
9,0.10590508924599065,0.14857912665121437,0.14388138490376784,0.12099480096868945,0.15419629287048253,0.1481596822716835,0.1161192160498595,0.13506240097055083,0.13178391969748474,0.0,0.13307326960919852,0.11748161108971378,0.0558781062792252,0.1275092230505763,0.12144475663352132,0.0703564550891839,0.12200639011766558,0.13309548941287194,0.15191564661024023,0.1333307031665077,0.14305832362400792
10,0.14225680423950707,0.09348607692099707,0.08987537133443041,0.1287086249356859,0.11824196153773447,0.11773813705147072,0.14472352224376686,0.10388501657676298,0.10367518128068158,0.13307326960919852,0.0,0.053163000622380684,0.1288881275422974,0.02656407618857262,0.03281080412361612,0.12033954789684437,0.04734660658980292,0.09465518468868156,0.14746995055439135,0.15117595792889915,0.14522990544870024
11,0.14413989864585666,0.10505011580074772,0.09840253938180311,0.13717846279573664,0.1347232114821068,0.12934095915121438,0.1474772082144972,0.11701781233191244,0.1096088788473457,0.11748161108971378,0.053163000622380684,0.0,0.12980738123434662,0.04848880358871297,0.033676289267280064,0.13193929317895894,0.03320246119351973,0.06025812984176503,0.15556413389156934,0.14352009447038336,0.15068795547547625
12,0.09700642181258622,0.14675577060105807,0.139498192937248,0.11386689877568855,0.1408260427169613,0.13701069697299578,0.1032213975840768,0.1305911170464984,0.12863845334848212,0.0558781062792252,0.1288881275422974,0.12980738123434662,0.0,0.12468258911060395,0.1238013375378335,0.0353325477685067,0.12134445174568338,0.14447955699485743,0.13719049587603188,0.1359855935489806,0.13358889521693224
13,0.1422412172195709,0.10014613040294786,0.09281650069114751,0.13481869134587496,0.12008299158419185,0.11543290054834712,0.14426218120389242,0.10767711481365118,0.1028534628805,0.1275092230505763,0.02656407618857262,0.04848880358871297,0.12468258911060395,0.0,0.020847177049235707,0.1162680870842008,0.0377437376961917,0.0859277180703116,0.14240682110252417,0.1481364748243315,0.14231552345605042
14,0.13954505397342926,0.0997827443870868,0.09195435589688188,0.1309922223264161,0.12425039848599555,0.11904256765381616,0.14265013152428496,0.10996113293944247,0.10381538080896639,0.12144475663352132,0.03281080412361612,0.033676289267280064,0.1238013375378335,0.020847177049235707,0.0,0.11933134394290493,0.028257217577004157,0.07312269239696892,0.142762151510099,0.1437001105792131,0.14027403869830535
15,0.09569458695502797,0.13668562273514043,0.1322794429930756,0.10822740221365908,0.13450149450375992,0.1332456868879435,0.10048656576708684,0.12225057341953408,0.12255535168896022,0.0703564550891839,0.12033954789684437,0.13193929317895894,0.0353325477685067,0.1162680870842008,0.11933134394290493,0.0,0.12121694316685873,0.15374488399124656,0.1286269735076142,0.13498425191873784,0.12932274198340435
16,0.13777515843267524,0.09936388777770347,0.09272502163577871,0.13431156609637315,0.12643660527360687,0.11954581162381607,0.14631798919224834,0.1162466801578416,0.10712558884276449,0.12200639011766558,0.04734660658980292,0.03320246119351973,0.12134445174568338,0.0377437376961917,0.028257217577004157,0.12121694316685873,0.0,0.05419033034269758,0.1469089439126934,0.14318566053484658,0.14506749826988116
17,0.16042227348286198,0.1316799597652632,0.12499173943186301,0.1562309423143721,0.16012567249422296,0.14796805572154142,0.1726095872419544,0.15071110520733844,0.13772402814622142,0.13309548941287194,0.09465518468868156,0.06025812984176503,0.14447955699485743,0.0859277180703116,0.07312269239696892,0.15374488399124656,0.05419033034269758,0.0,0.1814923610200606,0.15569948226185643,0.17106386831983783
18,0.12081138214567448,0.16190527928001974,0.15928102676576678,0.10306407479871105,0.1601215386385865,0.16076738158057866,0.10754954808817867,0.14991553425397483,0.1499995032617243,0.15191564661024023,0.14746995055439135,0.15556413389156934,0.13719049587603188,0.14240682110252417,0.142762151510099,0.1286269735076142,0.1469089439126934,0.1814923610200606,0.0,0.04787559502790386,0.022797861311114193
19,0.11873948454129396,0.16251534300288312,0.16144317255307586,0.0992956978467504,0.16381724392675834,0.15926731317551143,0.1101189628716651,0.15493025050545417,0.1508032260386737,0.1333307031665077,0.15117595792889915,0.14352009447038336,0.1359855935489806,0.1481364748243315,0.1437001105792131,0.13498425191873784,0.14318566053484658,0.15569948226185643,0.04787559502790386,0.0,0.03213551459193563
20,0.11842644640055659,0.16034516121476822,0.15985859679673378,0.09844738079586587,0.16100560517347767,0.15954576262771367,0.10929623178058909,0.14998899554125925,0.1490125806130728,0.14305832362400792,0.14522990544870024,0.15068795547547625,0.13358889521693224,0.14231552345605042,0.14027403869830535,0.12932274198340435,0.14506749826988116,0.17106386831983783,0.022797861311114193,0.03213551459193563,0.0
